,Title,abstractText,meshMajor,pmid,meshid,meshroot,A,B,C,D,E,F,G,H,I,J,L,M,N,Z
35644,Upregulation of plakophilin-2 and its acquisition to adherens junctions identifies a novel molecular ensemble of cell-cell-attachment characteristic for transformed mesenchymal cells.,"In contrast to the desmosome-containing epithelial and carcinoma cells, normal and malignantly transformed cells derived from mesenchymal tissues and tumors are connected only by adherens junctions (AJs) containing N-cadherins and/or cadherin-11, anchored in a cytoplasmic plaque assembled by alpha- and beta-catenin, plakoglobin, proteins p120 and p0071. Here, we report that the AJs of many malignantly transformed cell lines are characterized by the additional presence of plakophilin-2 (Pkp2), a protein hitherto known only as a major component of desmosomal plaques, i.e., AJs of epithelia and carcinomatous cells. This massive acquisition of Pkp2 and its integration into AJ plaques of a large number of transformed cell lines is demonstrated with biochemical and immunolocalization techniques. Upregulation of Pkp2 and its integration into AJs has also been noted in some soft tissue tumors insitu and some highly proliferative colonies of cultured mesenchymal stem cells. As Pkp2 has recently been identified as a functionally important major regulatory organizer in AJs and related junctions in epithelial cells and cardiomyocytes, we hypothesize that the integration of Pkp2 into AJs of ""soft tissue tumor"" cells also can serve functions in the upregulation of proliferation, the promotion of malignant growth in general as well as the close-packing of diverse kinds of cells and the metastatic behavior of such tumors. We propose to examine its presence in transformed mesenchymal cells and related tumors and to use it as an additional diagnostic criterion.","['Adherens Junctions', 'Animals', 'Cell Adhesion', 'Cell Transformation, Neoplastic', 'Cells, Cultured', 'Humans', 'Mesenchymal Stem Cells', 'Mesoderm', 'Mice', 'Plakophilins', 'Up-Regulation']",19551809,"[['A11.284.149.165.420.020'], ['B01.050'], ['G04.022'], ['C04.697.098.500', 'C23.550.727.098.500'], ['A11.251'], ['B01.050.150.900.649.313.988.400.112.400.400'], ['A11.329.830.500', 'A11.872.590.500'], ['A16.504.660'], ['B01.050.150.900.649.313.992.635.505.500'], ['D12.776.091.750', 'D12.776.220.885'], ['G02.111.905', 'G05.308.850', 'G07.690.773.998']]","['Anatomy [A]', 'Organisms [B]', 'Phenomena and Processes [G]', 'Diseases [C]', 'Chemicals and Drugs [D]']",1,1,1,1,0,0,1,0,0,0,0,0,0,0
14264,Parasite infracommunities of Leporinus friderici : A comparison of three tributaries of the Jurumirim Reservoir in southeastern Brazil.,"The degradation and homogenization of natural habitats is considered a major cause of biotic homogenization. Many studies have been undertaken on the effects of dams on aquatic wildlife, in particular fish assemblages. But how do dams affect the parasitic fauna of such fish? The aim of the present study was to examine parasitic similarity, comparing the diversity and structure of parasite communities of Leporinus friderici (Characiformes, Anostomidae) in three upstream tributaries under the influence of the Jurumirim Dam on the Upper Paranapanema River in southeastern Brazil. The present study did not find any significant differences in parasite communities among populations of L. friderici in the three upstream tributaries. This result highlights that dams promote and facilitate the dispersal of organisms between localities, and therefore the spatial homogenization of parasite communities. Overall, the results suggest that fish parasite assemblages can provide suitable data for evaluating biotic homogenization caused by dams.","['Animals', 'Biodiversity', 'Brazil', 'Characiformes', 'Host-Parasite Interactions', 'Population Dynamics', 'Rivers', 'Species Specificity', 'Statistics, Nonparametric', 'Water Movements']",28489196,"[['B01.050'], ['G16.500.275.157.049', 'N06.230.124.049'], ['Z01.107.757.176'], ['B01.050.150.900.493.130'], ['G16.527.200.400'], ['I01.240.600', 'N01.224.625', 'N06.850.505.400.700'], ['G01.311.750', 'G16.500.275.280.650', 'N06.230.232.650'], ['G16.824'], ['E05.318.740.995', 'N05.715.360.750.760', 'N06.850.520.830.995'], ['G16.500.971', 'N06.230.132.644.750', 'N06.230.850']]","['Organisms [B]', 'Phenomena and Processes [G]', 'Health Care [N]', 'Geographicals [Z]', 'Anthropology, Education, Sociology, and Social Phenomena [I]', 'Analytical, Diagnostic and Therapeutic Techniques, and Equipment [E]']",0,1,0,0,1,0,1,0,1,0,0,0,1,1
19653,Plasma catecholamine concentrations in hyperthyroidism and hypothyroidism.,"Using a modification of the fluorometric method of Anton and Sayre, we have measured the plasma epinephrine (E) and norepinephrine (NE) concentrations in patients with thyroid dysfunction. There was no significant difference in plasma E in hyperthyroid or hypothyroid subjects, the values being similar to those observed in normal subjects. There was a striking relationship between age and plasma NE in the euthyroid individuals (r = 0.685, p less than 0.001, n = 41). Observed plasma NE concentrations were similar in control subjects (21.05 +/- 1.6 ng/100 ml; mean +/- SEM) and hyperthyroid patients (22.33+/- 2.0 ng/100 ml). However, plasma NE was significantly increased in hypothyroidism (35.46 +/- 3.9 ng/100 ml; p less than 0.01) and remained statistically different when the age factor was excluded (31.31 +/- 2.67 ng/100 ml; p less than 0.025). There was no correlation between plasma NE and serum thyroxine (T4), free thyroxine (FT4), or triiodothyronine (T3), in any of the three groups studied. These data indicate that hyperthyroidism is accompanied by normal plasma NE concentrations and that hypothyroidism is associated with significantly increased plasma NE concentrations, possible in an attempt to compensate for the lack of thyroid hormones.","['Age Factors', 'Epinephrine', 'Humans', 'Hyperthyroidism', 'Hypothyroidism', 'Norepinephrine', 'Thyroxine', 'Triiodothyronine']",958003,"[['N05.715.350.075', 'N06.850.490.250'], ['D02.033.100.291.310', 'D02.092.063.291.310', 'D02.092.211.215.454', 'D02.092.311.461', 'D02.455.426.559.389.657.166.175.461'], ['B01.050.150.900.649.313.988.400.112.400.400'], ['C19.874.397'], ['C19.874.482'], ['D02.033.100.291.502', 'D02.092.063.480', 'D02.092.211.215.746', 'D02.092.311.830', 'D02.455.426.559.389.657.166.175.830'], ['D06.472.931.812', 'D12.125.072.050.767'], ['D06.472.931.740.385', 'D12.125.072.050.767.741.894']]","['Health Care [N]', 'Chemicals and Drugs [D]', 'Organisms [B]', 'Diseases [C]']",0,1,1,1,0,0,0,0,0,0,0,0,1,0
17307,Frequency of CD4(+)CD25(hi)FOXP3(+) regulatory T cells has diagnostic and prognostic value as a biomarker for acute graft-versus-host-disease.,"The relationship between regulatory T cells (Tregs) and acute graft-versus-host disease (aGVHD) in clinical allogeneic bone marrow transplantation (BMT) recipients is not well established. We conducted a prospective analysis of peripheral blood Tregs as determined by the frequency of CD4(+)CD25(hi)FOXP3(+) lymphocytes in 215 BMT patients. Autologous BMT patients (N = 90) and allogeneic BMT patients without GVHD (N = 65) had similar Treg frequencies, whereas allogeneic patients with GVHD (N = 60) had Treg frequencies that were 40% less than those without GVHD. Treg frequencies decreased linearly with increasing grades of GVHD at onset, and correlated with eventual maximum grade of GVHD (P < .001). In addition, frequency of Tregs at onset of GVHD predicted the response to GVHD treatment (P = .003). Patients with Treg frequencies less than the median had higher nonrelapse mortality (NRM) than patients with Tregs greater than the median, but experienced equivalent relapse mortality, resulting in an inferior survival at 2 years (38% versus 63%, P = .03). Treg frequency may therefore have important prognostic value as a biomarker of aGVHD.","['Acute Disease', 'Adolescent', 'Adult', 'Aged', 'Child', 'Child, Preschool', 'Female', 'Forkhead Transcription Factors', 'Graft vs Host Disease', 'Humans', 'Infant', 'Interleukin-2 Receptor alpha Subunit', 'Male', 'Middle Aged', 'Phenotype', 'Prognosis', 'Prospective Studies', 'T-Lymphocyte Subsets', 'T-Lymphocytes, Regulatory', 'Young Adult']",20302964,"[['C23.550.291.125'], ['M01.060.057'], ['M01.060.116'], ['M01.060.116.100'], ['M01.060.406'], ['M01.060.406.448'], ['D12.776.260.950.249', 'D12.776.930.977.249'], ['C20.452'], ['B01.050.150.900.649.313.988.400.112.400.400'], ['M01.060.703'], ['D12.776.543.750.705.852.420.320.500'], ['M01.060.116.630'], ['G05.695'], ['E01.789'], ['E05.318.372.500.750.625', 'N05.715.360.330.500.750.650', 'N06.850.520.450.500.750.650'], ['A11.118.637.555.567.550.500', 'A11.118.637.555.567.569.500', 'A15.145.229.637.555.567.550.500', 'A15.145.229.637.555.567.569.500', 'A15.382.490.555.567.550.500', 'A15.382.490.555.567.569.500'], ['A11.118.637.555.567.550.500.700', 'A11.118.637.555.567.569.200.700', 'A11.118.637.555.567.569.500.700', 'A15.145.229.637.555.567.550.500.700', 'A15.145.229.637.555.567.569.200.700', 'A15.145.229.637.555.567.569.500.700', 'A15.382.490.555.567.550.500.700', 'A15.382.490.555.567.569.200.700', 'A15.382.490.555.567.569.500.700'], ['M01.060.116.815']]","['Diseases [C]', 'Named Groups [M]', 'Chemicals and Drugs [D]', 'Organisms [B]', 'Phenomena and Processes [G]', 'Analytical, Diagnostic and Therapeutic Techniques, and Equipment [E]', 'Health Care [N]', 'Anatomy [A]']",1,1,1,1,1,0,1,0,0,0,0,1,1,0
20978,Assessing local progression after stereotactic body radiation therapy for unresectable pancreatic adenocarcinoma: CT versus PET.,"PURPOSE: Evaluation of local tumor progression (LP) has typically been defined by contrast-enhanced computed tomography (CT) imaging after stereotactic body radiation therapy (SBRT) for locally advanced pancreatic cancer (PDAC). The purpose of this study is to determine the benefit of adding 18F-fluorodeoxyglucose-positron emission tomography (FDG-PET) imaging to CT for LP assessment of PDAC after SBRT.METHODS AND MATERIALS: We retrospectively reviewed pretreatment, follow-up images, and outcomes of all patients treated with definitive SBRT for unresectable PDAC between December 2002 and December 2015 at our institution. For each patient, we independently analyzed LP both by CT and by FDG-PET criteria, using the Response Evaluation Criteria In Solid Tumors version 1.1 and the FDG-PET Response Evaluation Criteria In Solid Tumors version 1.0, respectively.RESULTS: Among 206 patients treated with definitive SBRT for unresectable PDAC, we identified 30 with LP on follow-up. Four did not undergo follow-up FDG-PET. Median time to LP after SBRT was 7.5 months (range, 2-25 months). Of the 26 patients with LP who had follow-up FDG-PET, 21 were diagnosed by FDG-PET (80.7%), 14 by CT (53.8%), and 9 by both FDG-PET and CT (34.6%). Use of CT alone revealed only 53.8% of cases of LP detected when FDG-PET and CT were combined. The cumulative incidence of LP, based on competing risk of death, at 1 and 2 years after SBRT was 9.6% and 16.7% by CT and 11% and 29.1% by FDG-PET, respectively.CONCLUSION: FDG-PET increases the chance of detecting LP of unresectable PDAC after SBRT and can have an important impact on reported outcomes. We recommend obtaining FDG-PET to assess treatment response when evaluating efficacy of SBRT and taking its use into account when comparing clinical data.","['Adult', 'Aged', 'Aged, 80 and over', 'Carcinoma, Pancreatic Ductal', 'Disease Progression', 'Female', 'Fluorodeoxyglucose F18', 'Follow-Up Studies', 'Humans', 'Male', 'Middle Aged', 'Pancreatic Neoplasms', 'Positron-Emission Tomography', 'Radiopharmaceuticals', 'Radiosurgery', 'Retrospective Studies', 'Tomography, X-Ray Computed', 'Treatment Outcome']",28274396,"[['M01.060.116'], ['M01.060.116.100'], ['M01.060.116.100.080'], ['C04.557.470.200.025.232.750', 'C04.557.470.615.132.750', 'C04.588.274.761.750', 'C04.588.322.475.750', 'C06.301.761.750', 'C06.689.667.625', 'C19.344.421.750'], ['C23.550.291.656'], ['D09.254.229.500'], ['E05.318.372.500.750.249', 'N05.715.360.330.500.750.350', 'N06.850.520.450.500.750.350'], ['B01.050.150.900.649.313.988.400.112.400.400'], ['M01.060.116.630'], ['C04.588.274.761', 'C04.588.322.475', 'C06.301.761', 'C06.689.667', 'C19.344.421'], ['E01.370.350.350.800.700', 'E01.370.350.600.350.800.399', 'E01.370.350.710.800.399', 'E01.370.350.825.800.399', 'E01.370.384.730.800.399'], ['D27.505.259.843', 'D27.505.519.871', 'D27.720.470.410.650'], ['E02.815.530', 'E04.525.800.650', 'E05.873.500'], ['E05.318.372.500.500.500', 'E05.318.372.500.750.750', 'N05.715.360.330.500.500.500', 'N05.715.360.330.500.750.825', 'N06.850.520.450.500.500.500', 'N06.850.520.450.500.750.825'], ['E01.370.350.350.810', 'E01.370.350.600.350.700.810', 'E01.370.350.700.700.810', 'E01.370.350.700.810.810', 'E01.370.350.825.810.810'], ['E01.789.800', 'N04.761.559.590.800', 'N05.715.360.575.575.800']]","['Named Groups [M]', 'Diseases [C]', 'Chemicals and Drugs [D]', 'Analytical, Diagnostic and Therapeutic Techniques, and Equipment [E]', 'Health Care [N]', 'Organisms [B]']",0,1,1,1,1,0,0,0,0,0,0,1,1,0
15010,Human P50 suppression is not affected by variations in wakeful alertness.,"The amplitude and suppression of the auditory P50 event-related potential may be useful for studying schizophrenia and drug abuse; however, the low reliability of the P50 suppression measure limits its value for correlation with clinical measures. Reliability can be increased either by improving measurement methods or by reducing or eliminating sources of variance in the recordings. In this paper, the effect on P50 amplitude and suppression of variation in wakeful alertness within an experimental session was examined in 20 normal subjects. The percentage of beta power in the interval immediately prior to the P50 stimuli was used as an index of alertness. P50 amplitudes or C-T ratios were estimated using peak-picking and using the singular value decomposition (SVD) method. No effects of variation of wakeful alertness were observed on any P50 amplitude or suppression measure. Comparing the peak-picking vs SVD estimates replicated our prior results showing markedly higher reliabilities with SVD. We conclude: 1) that variation within an experimental session in wakeful alertness level as indexed by the percentage of beta power does not affect P50 amplitude or suppression, and 2) the SVD method brings the reliability of the C-T ratio up to levels where its usefulness in clinical studies can be examined.","['Acoustic Stimulation', 'Adult', 'Attention', 'Beta Rhythm', 'Electroencephalography', 'Electrooculography', 'Evoked Potentials, Auditory', 'Eye Movements', 'Female', 'Humans', 'Male', 'Wakefulness']",9099416,"[['E02.037', 'E02.190.888.030', 'E05.723.136'], ['M01.060.116'], ['F02.830.104.214'], ['E01.370.376.300.150.750', 'E01.370.405.245.287.750', 'G07.265.087.750', 'G11.561.127.750'], ['E01.370.376.300', 'E01.370.405.245'], ['E01.370.380.230.285', 'E01.370.405.245.787.285'], ['G07.265.216.500.370', 'G07.888.250', 'G11.561.200.500.370'], ['G11.427.410.140', 'G14.350'], ['B01.050.150.900.649.313.988.400.112.400.400'], ['F02.830.104.821', 'G11.561.035.738']]","['Analytical, Diagnostic and Therapeutic Techniques, and Equipment [E]', 'Named Groups [M]', 'Psychiatry and Psychology [F]', 'Phenomena and Processes [G]', 'Organisms [B]']",0,1,0,0,1,1,1,0,0,0,0,1,0,0
43638,"Evaluation of four modalities of periodontal therapy. Mean probing depth, probing attachment level and recession changes.","Eighty-two periodontally involved patients were treated in a split mouth design such that one quadrant received coronal scaling (CS), root planing (RP), modified Widman surgery (MW), and flap with osseous resection surgery (FO). The therapy was performed in three phases: Phase I: the teeth previously designated to receive RP, MW, and FO were thoroughly root planed and the teeth designated to receive CS were scaled with no subgingival instrumentation, plaque control was initiated and reinforced for the entire mouth; Phase II: the designated teeth received MW or FO surgery; and Phase III: maintenance therapy every three months. The CS teeth received coronal scaling and polishing during maintenance appointments, while RP, MW, and FO teeth received supragingival instrumentation, subgingival instrumentation and polishing. Clinical measurements were taken initially, four weeks post-Phase I, 10 weeks post-Phase II, and after each of two years of maintenance care. All therapy modalities resulted in a decrease of mean probing depth with the FO producing the greatest decrease followed by MW, RP, and CS. The deeper the initial probing depth, the greater was the mean reduction of probing depth. FO created a loss of mean probing attachment in the 1 to 4 mm category. RP and MW produced the greatest gain of mean probing attachment in the 5 to 6 mm category. RP, MW, and FO produced similar gains in the greater than or equal to 7 mm category. FO created the most gingival recession followed by MW, RP, and CS.","['Adult', 'Dental Scaling', 'Epithelial Attachment', 'Evaluation Studies as Topic', 'Female', 'Gingival Diseases', 'Gingival Recession', 'Humans', 'Longitudinal Studies', 'Male', 'Periodontal Diseases', 'Periodontal Pocket', 'Periodontitis', 'Periodontium', 'Random Allocation', 'Surgical Flaps', 'Tooth Root']",3066888,"[['M01.060.116'], ['E06.721.189.350', 'E06.761.227.350'], ['A14.549.167.646.374'], ['E05.337', 'N05.715.360.335'], ['C07.465.714.258'], ['C07.465.714.258.447', 'C07.465.714.354.625'], ['B01.050.150.900.649.313.988.400.112.400.400'], ['E05.318.372.500.750.500', 'N05.715.360.330.500.750.500', 'N06.850.520.450.500.750.500'], ['C07.465.714'], ['C07.465.714.533.750'], ['C07.465.714.533'], ['A14.549.167.646'], ['E05.318.370.700', 'E05.581.500.805', 'N05.715.360.325.675', 'N06.850.520.445.700'], ['A10.850.710', 'E07.862.710'], ['A14.549.167.900.750']]","['Named Groups [M]', 'Analytical, Diagnostic and Therapeutic Techniques, and Equipment [E]', 'Anatomy [A]', 'Health Care [N]', 'Diseases [C]', 'Organisms [B]']",1,1,1,0,1,0,0,0,0,0,0,1,1,0
14644,Mouse minor satellite DNA genetically maps to the centromere and is physically linked to the proximal telomere.,"As an adjunct to attempts to define functionally important sequences at human centromeres, we have undertaken a long-range physical analysis of these regions in the mouse. Mouse centromeres are usually situated very close to the chromosome ends and are closely associated with minor satellite sequences on the basis of cytological observations. Using pulsed-field gel electrophoresis we find that this satellite DNA is arranged as tandem arrays, predominantly uninterrupted by nonsatellite sequences. These arrays can be released largely intact by digestion with a range of enzymes that generally cleave frequently in non-satellite DNA. The restriction fragments carrying these arrays are polymorphic in size between inbred strains and provide direct markers for mouse centromeres. To illustrate the possible use of these polymorphic markers we have mapped a 1.3-Mb PvuII variant in a set of RI strains to the centromere of Chromosome 7. The minor satellite arrays are very close to the centromeric telomere and physical linkage with terminal repeat sequences can readily be detected, placing many minor satellite arrays on terminal restriction fragments smaller than 1 Mb. The apparent lack of any sizable amount of nonsatellite DNA between the minor satellite and the terminal repeat arrays indicates that many mouse chromosomes are truly telocentric.","['Alleles', 'Animals', 'Blotting, Southern', 'Centromere', 'Chromosome Mapping', 'DNA, Satellite', 'Electrophoresis, Agar Gel', 'Electrophoresis, Gel, Pulsed-Field', 'Genetic Linkage', 'Genetic Markers', 'Mice', 'Muridae', 'Polymorphism, Restriction Fragment Length', 'Reading Frames', 'Telomere', 'Translocation, Genetic']",1685135,"[['G05.360.340.024.340.030'], ['B01.050'], ['E05.196.401.114', 'E05.301.300.087', 'E05.601.150'], ['A11.284.430.106.279.345.190.160.165', 'G05.360.160.165'], ['E05.393.183'], ['D13.444.308.480', 'G02.111.570.080.708.800.150', 'G05.360.080.708.800.150', 'G05.360.340.024.220.150', 'G05.360.340.024.850.150'], ['E05.196.401.153', 'E05.301.300.100'], ['E05.196.401.220', 'E05.301.300.220'], ['G05.348'], ['D23.101.387', 'G05.695.450'], ['B01.050.150.900.649.313.992.635.505.500'], ['B01.050.150.900.649.313.992.635'], ['G05.365.795.595'], ['G05.360.335.760'], ['A11.284.430.106.279.345.190.160.845', 'G05.360.160.845'], ['C23.550.210.870', 'G05.365.590.175.870', 'G05.558.860']]","['Phenomena and Processes [G]', 'Organisms [B]', 'Analytical, Diagnostic and Therapeutic Techniques, and Equipment [E]', 'Anatomy [A]', 'Chemicals and Drugs [D]', 'Diseases [C]']",1,1,1,1,1,0,1,0,0,0,0,0,0,0
32803,Mechanical characteristics of dilated polytetraflouroethylene used for transluminally placed endovascular grafts.,"This study was conducted to assess the mechanical characteristics of dilated polytetraflouroethylene (PTFE) for use in transluminally placed endovascular grafts (TPEGs). Ten-centimeter lengths of 3- and 4-mm thinwalled PTFE were dilated to 8, 10, 12, and 15 mm diameters (3 mm) and 10-, 14-, 16-, and 20-mm diameters (4 mm), respectively (n = 6 for each size). The dilated PTFE segments were evaluated for leakage, further dilation, structural changes (with electron microscopy), and changes in wall thickness occurring after 24 hours of perfusion at pressures of 300-350 mmHg. Both 3- and 4-mm thinwalled PTFE could be dilated to five times their initial diameter before rupture occurred. Three-millimeter grafts dilated to 12- and 4-mm grafts dilated to 14 mm remained resistant to leakage at perfusion pressures up to 350 mmHg. When 3-mm grafts were dilated to 15 mm, the PTFE leaked saline at a rate of 20.3 +/- 9.3 cc per hour at 300 mmHg. pressure. Four-millimeter grafts dilated to 16- and 20-mm diameters leaked saline at 8.4 +/- 7.8 and 52.8 +/- 22 cc per minute, respectively, at the same pressure. No grafts were found to increase in diameter after 24 hours of pressure perfusion. Electron microscopy revealed that PTFE node size was significantly smaller in dilated grafts than in undilated grafts, but there was no significant change in internodal distance. This data suggests that thinwalled PTFE can be dilated to large diameters and retain sufficient strength to resist supraphysiologic pressures. Long-term studies are needed to determine the late structural integrity of dilated PTFE.","['Blood Vessel Prosthesis', 'Catheterization', 'Humans', 'Microscopy, Electron, Scanning', 'Perfusion', 'Polytetrafluoroethylene', 'Prosthesis Failure', 'Stress, Mechanical', 'Time Factors']",9061142,"[['E07.695.110'], ['E02.148', 'E05.157'], ['B01.050.150.900.649.313.988.400.112.400.400'], ['E01.370.350.515.402.541', 'E05.595.402.541'], ['E05.680'], ['D05.750.395.616', 'D25.720.395.616', 'J01.637.051.720.395.616'], ['C23.550.767.865', 'E05.325.771'], ['G01.374.835'], ['G01.910.857']]","['Analytical, Diagnostic and Therapeutic Techniques, and Equipment [E]', 'Organisms [B]', 'Chemicals and Drugs [D]', 'Technology, Industry, and Agriculture [J]', 'Diseases [C]', 'Phenomena and Processes [G]']",0,1,1,1,1,0,1,0,0,1,0,0,0,0
14306,"[Potentiation of cisplatin sensitivity of cisplatin-resistant human ovarian cancer cell lines by L-buthionine-S,R-sulfoximine].","We established two human ovarian cancer cell lines (KK and MH) from the ascites of patients who did not respond to cisplatin (CDDP)-based combination chemotherapy. These cell lines showed higher resistance to CDDP in vitro than HRA cells which were established previously in our laboratory, and also have cross resistance with its analogues. The amount of intracellular glutathione (GSH) in these cells correlated with the degree of resistance to CDDP and was high, but the intracellular platinum (Pt) uptake was unchanged. Preincubation with L-buthionine-S,R-sulfoximine (BSO) reduced cellular GSH in these cells to 9-25%, while the Pt uptake remained unchanged. When the CDDP-resistant KK and MH cells were incubated in the presence of 10 microM BSO, they were sensitized to CDDP and its analogues showing a decrease to 79-38% in the IC50 values. On the basis of these results, we conclude that GSH may be involved in the mechanisms of resistance to CDDP and its analogues in the KK and MH cells.","['Adenocarcinoma', 'Adult', 'Buthionine Sulfoximine', 'Cisplatin', 'Drug Resistance', 'Drug Synergism', 'Female', 'Glutathione', 'Humans', 'Methionine Sulfoximine', 'Middle Aged', 'Ovarian Neoplasms', 'Tumor Cells, Cultured']",8040625,"[['C04.557.470.200.025'], ['M01.060.116'], ['D02.886.030.676.620.125', 'D12.125.166.676.620.125'], ['D01.210.375', 'D01.625.125', 'D01.710.100'], ['G07.690.773.984'], ['G07.690.773.968.477'], ['D12.644.456.448'], ['B01.050.150.900.649.313.988.400.112.400.400'], ['D02.886.030.676.620', 'D12.125.166.676.620'], ['M01.060.116.630'], ['C04.588.322.455', 'C13.351.500.056.630.705', 'C13.351.937.418.685', 'C19.344.410', 'C19.391.630.705'], ['A11.251.860']]","['Diseases [C]', 'Named Groups [M]', 'Chemicals and Drugs [D]', 'Phenomena and Processes [G]', 'Organisms [B]', 'Anatomy [A]']",1,1,1,1,0,0,1,0,0,0,0,1,0,0
